RTPLAN:  pb field pb_type      E pb_nprim  FWHM  x0 y0 z0 f_x f_y f_z u_x u_y u_z l_x l_y l_z
#     pb    field    pb_type      E         pb_nprim     FWHM  x0      y0    z0   f_x  f_y  f_z  u_x  u_y  u_z  l_x  l_y l_z
pb: 1 1 electron 130 100000 1.2 -52.6583 68.9714 -136.014 0.568566 -0.822638 0 0 0 1 0.822638 0.568566 -0
pb: 2 1 electron 130 100000 1.2 -52.6583 68.9714 -136.014 0.568406 -0.822406 0.0237292 -0.0134916 0.0195205 0.999718 0.822638 0.568566 -1.73472e-18
pb: 3 1 electron 130 100000 1.2 -52.6583 68.9714 -136.014 0.578126 -0.815602 -0.0237342 0.0137252 -0.0193631 0.999718 0.815832 0.578289 0
pb: 4 1 electron 130 100000 1.2 -52.6583 68.9714 -136.014 0.578249 -0.815774 -0.0118696 0.00686406 -0.0096836 0.99993 0.815832 0.578289 -8.67362e-19
pb: 5 1 electron 130 100000 1.2 -52.6583 68.9714 -136.014 0.578289 -0.815832 0 0 0 1 0.815832 0.578289 -0
pb: 6 1 electron 130 100000 1.2 -52.6583 68.9714 -136.014 0.578249 -0.815774 0.0118696 -0.00686406 0.0096836 0.99993 0.815832 0.578289 8.67362e-19
pb: 7 1 electron 130 100000 1.2 -52.6583 68.9714 -136.014 0.578126 -0.815602 0.0237342 -0.0137252 0.0193631 0.999718 0.815832 0.578289 0
pb: 8 1 electron 130 100000 1.2 -52.6583 68.9714 -136.014 0.587768 -0.808681 -0.0237359 0.0139551 -0.0192001 0.999718 0.808909 0.587934 1.73472e-18
pb: 9 1 electron 130 100000 1.2 -52.6583 68.9714 -136.014 0.587892 -0.808852 -0.0118704 0.00697903 -0.0096021 0.99993 0.808909 0.587934 0
pb: 10 1 electron 130 100000 1.2 -52.6583 68.9714 -136.014 0.587934 -0.808909 0 0 0 1 0.808909 0.587934 -0
pb: 11 1 electron 130 100000 1.2 -52.6583 68.9714 -136.014 0.587892 -0.808852 0.0118704 -0.00697903 0.0096021 0.99993 0.808909 0.587934 0
pb: 12 1 electron 130 100000 1.2 -52.6583 68.9714 -136.014 0.587768 -0.808681 0.0237359 -0.0139551 0.0192001 0.999718 0.808909 0.587934 -1.73472e-18
pb: 13 1 electron 130 100000 1.2 -52.6583 68.9714 -136.014 0.597327 -0.801646 -0.0237342 0.0141811 -0.0190318 0.999718 0.801872 0.597496 0
pb: 14 1 electron 130 100000 1.2 -52.6583 68.9714 -136.014 0.597454 -0.801816 -0.0118696 0.00709203 -0.0095179 0.99993 0.801872 0.597496 -8.67362e-19
pb: 15 1 electron 130 100000 1.2 -52.6583 68.9714 -136.014 0.597496 -0.801872 0 0 0 1 0.801872 0.597496 -0
pb: 16 1 electron 130 100000 1.2 -52.6583 68.9714 -136.014 0.597454 -0.801816 0.0118696 -0.00709203 0.0095179 0.99993 0.801872 0.597496 8.67362e-19
pb: 17 1 electron 130 100000 1.2 -52.6583 68.9714 -136.014 0.597327 -0.801646 0.0237342 -0.0141811 0.0190318 0.999718 0.801872 0.597496 0
pb: 18 1 electron 130 100000 1.2 -52.6583 68.9714 -136.014 0.6068 -0.794501 -0.0237292 0.0144029 -0.0188581 0.999718 0.794724 0.60697 1.73472e-18
pb: 19 1 electron 130 100000 1.2 -52.6583 68.9714 -136.014 0.606928 -0.794668 -0.0118671 0.00720297 -0.00943107 0.99993 0.794724 0.60697 8.67362e-19
pb: 20 1 electron 130 100000 1.2 -52.6583 68.9714 -136.014 0.60697 -0.794724 0 0 0 1 0.794724 0.60697 -0
pb: 21 1 electron 130 100000 1.2 -52.6583 68.9714 -136.014 0.606928 -0.794668 0.0118671 -0.00720297 0.00943107 0.99993 0.794724 0.60697 -8.67362e-19
pb: 22 1 electron 130 100000 0.7 -52.6583 68.9714 -136.014 0.553842 -0.832622 0 0 0 1 0.832622 0.553842 -0
pb: 23 1 electron 130 100000 0.7 -52.6583 68.9714 -136.014 0.553766 -0.832507 0.0166032 -0.00919553 0.0138241 0.999862 0.832622 0.553842 0
pb: 24 1 electron 130 100000 0.7 -52.6583 68.9714 -136.014 0.553671 -0.832363 0.0249005 -0.0137909 0.0207327 0.99969 0.832622 0.553842 1.73472e-18
pb: 25 1 electron 130 100000 0.7 -52.6583 68.9714 -136.014 0.553537 -0.832163 0.0331926 -0.0183835 0.0276369 0.999449 0.832622 0.553842 1.73472e-18
pb: 26 1 electron 130 100000 0.7 -52.6583 68.9714 -136.014 0.560559 -0.82774 -0.0249082 0.0139668 -0.0206239 0.99969 0.827996 0.560733 1.73472e-18
pb: 27 1 electron 130 100000 0.7 -52.6583 68.9714 -136.014 0.560656 -0.827882 -0.0166083 0.00931283 -0.0137516 0.999862 0.827996 0.560733 -8.67362e-19
pb: 28 1 electron 130 100000 0.7 -52.6583 68.9714 -136.014 0.560714 -0.827968 -0.00830502 0.0046569 -0.00687652 0.999966 0.827996 0.560733 0
pb: 29 1 electron 130 100000 0.7 -52.6583 68.9714 -136.014 0.560733 -0.827996 0 0 0 1 0.827996 0.560733 -0
pb: 30 1 electron 130 100000 0.7 -52.6583 68.9714 -136.014 0.560714 -0.827968 0.00830502 -0.0046569 0.00687652 0.999966 0.827996 0.560733 0
pb: 31 1 electron 130 100000 0.7 -52.6583 68.9714 -136.014 0.560656 -0.827882 0.0166083 -0.00931283 0.0137516 0.999862 0.827996 0.560733 8.67362e-19
pb: 32 1 electron 130 100000 0.7 -52.6583 68.9714 -136.014 0.560559 -0.82774 0.0249082 -0.0139668 0.0206239 0.99969 0.827996 0.560733 -1.73472e-18
pb: 33 1 electron 130 100000 0.7 -52.6583 68.9714 -136.014 0.560424 -0.82754 0.0332029 -0.018618 0.0274919 0.999449 0.827996 0.560733 0
pb: 34 1 electron 130 100000 0.7 -52.6583 68.9714 -136.014 0.56025 -0.827283 0.0414908 -0.0232652 0.0343542 0.999139 0.827996 0.560733 0
pb: 35 1 electron 130 100000 0.7 -52.6583 68.9714 -136.014 0.5671 -0.822602 -0.0415008 0.0235554 -0.0341681 0.999138 0.823312 0.567589 -3.46945e-18
pb: 36 1 electron 130 100000 0.7 -52.6583 68.9714 -136.014 0.567276 -0.822858 -0.0332109 0.0188502 -0.0273429 0.999448 0.823312 0.567589 0
pb: 37 1 electron 130 100000 0.7 -52.6583 68.9714 -136.014 0.567413 -0.823056 -0.0249142 0.014141 -0.0205121 0.99969 0.823312 0.567589 -1.73472e-18
pb: 38 1 electron 130 100000 0.7 -52.6583 68.9714 -136.014 0.567511 -0.823198 -0.0166123 0.00942898 -0.0136771 0.999862 0.823312 0.567589 -8.67362e-19
pb: 39 1 electron 130 100000 0.7 -52.6583 68.9714 -136.014 0.56757 -0.823283 -0.00830702 0.00471498 -0.00683927 0.999965 0.823312 0.567589 4.33681e-19
pb: 40 1 electron 130 100000 0.7 -52.6583 68.9714 -136.014 0.56757 -0.823283 0.00830702 -0.00471498 0.00683927 0.999965 0.823312 0.567589 -4.33681e-19
